case_identifier,pp_primary16_2016,pp_demprim16_2016,pp_repprim16_2016,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,race_other_baseline,educ_baseline,child18_baseline,child18num_baseline,job_baseline,employstat2_baseline,industry_baseline,occupationcat_baseline,presvote16post_2016
36546368,2,,1,53,98661,1960,1,1,,2,2,,,1,31,12,3
36547592,1,2,,53,98105,1975,2,2,,5,2,,2,,,10,4
36547796,2,,2,39,43545,1958,2,1,,2,2,,,1,48,12,2
36548258,1,2,,6,90746,1950,2,2,,6,2,,,5,,1,1
36548933,1,1,,26,49015,1951,2,1,,2,2,,,7,,9,1
36549440,1,1,,13,30909,1968,1,2,,3,1,1,,1,81,7,1
36549929,3,,,20,67152,1982,2,6,,3,2,,,2,81,12,6
36551129,3,,,4,85714,1971,2,1,,3,2,,3,,,10,1
36551843,3,,,31,68105,1958,1,1,,2,2,,,6,,12,2
36552068,1,1,,21,40511,1972,2,2,,2,1,3,,1,81,12,1
36552818,2,,1,12,32934,1959,2,1,,2,1,2,,7,,9,2
36553877,1,1,,18,47111,1949,2,1,,2,2,,,2,72,12,1
36554468,2,,1,29,63060,1973,1,1,,3,2,,,1,48,4,2
36554504,1,1,,6,90660,1967,1,3,,2,2,,,1,61,3,1
36555641,1,1,,55,54703,1958,2,1,,2,2,,,1,62,6,1
36555686,1,1,,12,32784,1937,2,1,,2,2,,,5,,8,1
36557096,3,,,2,99801,1980,1,1,,3,2,,2,,,10,
36557198,1,1,,31,68005,1962,1,2,,2,2,,,2,72,7,1
36557219,3,,,24,20854,1976,1,4,,6,1,1,,1,62,1,1
36557246,3,,,39,44128,1953,1,2,,4,2,,,3,23,5,1
36557360,3,,,34,7010,1958,1,1,,2,2,,,1,81,12,2
36558188,2,,4,12,32129,1954,1,1,,3,2,,,3,81,5,2
36558371,2,,4,33,3053,1950,2,1,,4,2,,,7,,9,1
36558485,3,,,26,48867,1960,2,1,,2,1,1,,3,44,4,1
36559037,2,,2,33,3282,1946,2,1,,2,2,,,5,,4,2
36559070,1,2,,55,54729,1960,2,1,,2,1,1,,1,31,12,1
36559934,4,,,36,14825,1963,2,1,,2,2,,,7,,9,3
36561005,2,,2,28,39350,1948,2,1,,2,2,,,2,44,12,2
36561092,2,,1,39,44515,1952,2,1,,2,2,,,6,,12,2
36561533,2,,1,13,30540,1957,1,1,,2,2,,,4,,11,
36561980,2,,4,12,32256,1949,1,1,,2,2,,,6,,8,
36562043,1,2,,10,19703,1981,1,1,,2,2,,,7,,9,1
36562205,2,,3,37,27299,1942,2,1,,2,2,,,5,,8,2
36562847,2,,4,55,53142,1966,2,1,,3,2,,,1,44,4,2
36562985,1,1,,40,73107,1963,2,1,,2,1,1,,1,81,6,1
36564086,2,,1,31,68066,1941,1,1,,2,2,,,5,,8,2
36565958,2,,1,36,14428,1941,2,1,,2,2,,,7,,9,2
36566486,2,,2,42,17566,1946,1,1,,2,2,,,5,,8,2
36567200,1,2,,36,11005,1960,1,1,,4,2,,,6,,1,1
36568667,3,,,9,6118,1941,2,1,,2,2,,,2,52,,2
36569000,1,1,,17,60476,1941,2,3,,2,2,,,5,,8,2
36569066,1,1,,23,3908,1958,1,1,,2,2,,,1,92,6,1
36569543,2,,1,22,70003,1965,1,1,,2,1,2,,1,81,1,2
36569663,3,,,42,17201,1942,2,1,,2,2,,,5,,6,1
36569855,1,1,,42,18102,1962,2,1,,2,2,,,1,,3,1
36570893,1,1,,36,12866,1950,2,1,,2,2,,,2,81,12,1
36571565,3,,,42,18032,1936,1,1,,2,2,,,5,,8,2
36571652,3,,,35,87109,1962,2,1,,6,2,,,3,54,5,1
36572030,2,,1,47,37317,1942,2,1,,2,2,,,4,,11,2
36572486,2,,3,39,45640,1949,2,1,,2,2,,,5,,8,1
36572990,1,1,,42,15226,1946,2,1,,2,2,,,4,,11,1
36573341,1,1,,44,2860,1957,2,1,,4,2,,,1,52,3,1
