case_identifier,inputstate_2016,izip_2016,birthyr_baseline,gender_baseline,race_baseline,educ_baseline,presvote16post_2016
6565658,6,90241,1944,2,1,3,2
6565907,16,83501,1966,1,1,5,5
6568007,29,64804,1963,1,1,5,6
6569282,6,91701,1964,1,1,3,2
6571295,17,60505,1966,2,1,6,4
6571673,48,78704,1955,2,1,5,1
6571709,6,92656,1943,2,1,6,2
6571925,37,27834,1942,1,1,2,2
6574859,6,90807,1973,2,3,5,2
6576314,24,20653,1965,1,1,5,2
6576614,36,14424,1960,2,1,6,2
6580442,37,27278,1965,1,1,5,2
6583550,49,84310,1955,1,1,5,5
6583586,51,23503,1965,1,1,3,3
6583751,6,93635,1945,1,2,6,2
6583835,8,80120,1945,1,1,5,2
6585035,55,54915,1969,1,1,4,6
6585683,6,90025,1974,2,1,5,
6586079,24,21701,1949,2,1,5,2
6586151,21,40291,1950,2,1,3,2
6586184,26,48103,1974,1,1,5,1
6586757,36,10965,1953,2,1,5,2
6591026,39,43612,1981,1,1,6,1
6591209,6,92553,1955,2,1,2,2
6594854,26,49428,1973,1,1,5,1
6595622,35,87109,1951,2,1,5,2
6601568,6,92084,1951,1,1,3,2
6603200,36,11215,1968,1,4,5,1
6604283,48,77082,1958,1,1,5,1
6606386,47,37659,1967,2,1,6,1
6609650,36,10463,1952,1,2,3,2
6609992,55,54622,1959,1,1,2,2
6610301,12,32024,1957,2,1,3,2
6613085,4,85710,1952,2,3,2,2
6613688,31,68803,1954,1,1,2,2
6615125,48,78248,1930,1,1,6,2
6617741,25,2332,1958,2,1,6,2
6618929,42,15668,1953,2,1,2,2
6619391,12,33432,1957,1,1,3,2
6628448,42,17314,1956,1,1,3,2
6628547,31,68102,1946,1,1,5,2
6631778,51,23509,1972,1,1,6,1
6631814,18,46324,1974,1,2,3,6
6633101,12,33760,1963,1,1,6,2
6639470,6,91350,1944,2,1,5,2
6641864,9,6074,1932,2,1,2,2
6642710,25,1845,1956,1,7,6,2
6643190,2,99835,1946,1,1,6,1
6643499,48,77002,1946,1,1,6,1
6648632,55,54901,1973,2,1,3,1
6648860,48,75069,1966,2,1,3,2
6650189,9,6033,1938,1,1,5,2
6650726,39,44145,1958,1,1,6,2
6650813,26,48310,1961,1,1,5,1
6651488,36,12566,1962,1,1,3,1
6652979,24,20895,1949,1,1,6,2
6653429,17,62025,1950,1,1,6,2
